Experiment,Model,N_chains,retention: actual,retention: baseline,retention: dif,purity: actual,purity: baseline,purity: dif,purity_90: actual,purity_90: baseline,purity_90: dif,consistency: actual,consistency: baseline,consistency: dif,runtime,Accuracy_train,Precision_train,Recall_train,F1_train,Precision_weighted_train,Recall_weighted_train,F1_weighted_train,TPR_norm_train,FPR_norm_train,Support_train,Accuracy_test,Precision_test,Recall_test,F1_test,Precision_weighted_test,Recall_weighted_test,F1_weighted_test,TPR_norm_test,FPR_norm_test,Support_test,drop_nonbinders,single_epitopes,spike_in,annotate,min_clustsize,n_logos,pGen,cpus,Comment
20220328_135521_vdjdb,clustcrbeta,21970,0.13285826438794612,0.13285826438794612,0.0,0.6007723871590634,0.353849867245957,0.24692251991310643,0.1091703056768559,0.03056768558951965,0.07860262008733625,0.24161235819454502,0.10741008930726527,0.13420226888727976,2.6533660888671875,0.8400157232704402,0.9414893617021276,0.4616346650799372,0.572931302946908,0.876108546746966,0.8400157232704402,0.8572639676594754,0.4616346650799372,0.9950361010830325,636.0,0.7661163522012578,0.31512129913103115,0.39013239590323656,0.33023496931160967,0.778401408477126,0.7661163522012578,0.7708401933495252,0.39013239590323656,0.7748251038646823,636.0,,,,,3,,False,1,
20220328_145459_vdjdb,gliph2beta,21970,0.09535599975843952,0.09535599975843952,0.0,0.6796639721033444,0.47566967823743855,0.20399429386590584,0.12100840336134454,0.052100840336134456,0.06890756302521009,0.10001585037248376,0.07370423204945316,0.026311618323030597,35.54729175567627,0.7991596638655462,0.998046875,0.47146917658950804,0.5738850688979595,0.8633601973840591,0.7991596638655462,0.8290830375927106,0.47146917658950804,0.9994033412887828,595.0,0.795798319327731,0.43803827811244983,0.49982884280810647,nan,0.7975067498651438,0.795798319327731,0.7957681450527666,0.49982884280810647,0.8208218706683188,595.0,,,,,3,,False,1,
20220328_145735_vdjdb,gliph2alpha,21970,0.5478014549668447,0.5478014549668447,0.0,0.5717534975538581,0.46154836494721485,0.11020513260664322,0.09026687598116169,0.036891679748822605,0.053375196232339085,0.046347952965410694,0.019740794781563813,0.02660715818384688,55.26657724380493,0.7361656200941915,0.994475138121547,0.3505755506621544,0.44649073501002967,0.8484178860807943,0.7361656200941915,0.7857826877021007,0.3505755506621544,0.9995027349577325,2548.0,0.7794348508634222,0.3891534196824981,0.3578216377153568,0.34685175103005556,0.7424484362820847,0.7794348508634222,0.7602294668412626,0.3578216377153568,0.7738275945069424,2548.0,,,,,3,,False,1,
20220328_150220_vdjdb,gliph2paired,21970,0.09535599975843952,0.09535599975843952,0.0,0.6850530987478206,0.48026628625772705,0.20478681249009356,0.12941176470588237,0.05042016806722689,0.07899159663865547,0.10191789507053416,0.0705341575527025,0.03138373751783166,34.3610942363739,0.7978991596638655,0.998046875,0.46645729571739336,0.5646792653416697,0.862900055670101,0.7978991596638655,0.8282680159160911,0.46645729571739336,0.9994047619047619,595.0,0.7987394957983193,0.4233437087730871,0.5009111169837029,nan,0.8029696263121925,0.7987394957983193,0.799535153840888,0.5009111169837029,0.8221408643260686,595.0,,,,,3,,False,1,
20220328_150741_vdjdb,clustcrbeta,21970,0.13285826438794612,0.13285826438794612,0.0,0.6036688390055516,0.34371228578324886,0.2599565532223027,0.07860262008733625,0.0,0.07860262008733625,0.23606082548877624,0.10644460535843592,0.12961622013034033,2.710188150405884,0.8392295597484276,0.9361702127659575,0.4538228998614139,0.5592343406470263,0.874375156334832,0.8392295597484276,0.8559902112946853,0.4538228998614139,0.9945652173913043,636.0,0.7637578616352201,0.32450980392156864,0.3982847340866876,0.3357288189189356,0.7712852082623157,0.7637578616352201,0.7665580401617528,0.3982847340866876,0.7693332759814113,636.0,,,,,3,,False,1,
20220328_150741_vdjdb,gliph2beta,21970,0.09535599975843952,0.09535599975843952,0.0,0.687272150895546,0.484704390553178,0.20256776034236806,0.12436974789915967,0.05042016806722689,0.07394957983193277,0.10080836899667142,0.06847360912981455,0.03233475986685687,35.45974779129028,0.7945378151260504,0.9922480620155039,0.4565144782169458,0.5524194625591932,0.8623514494835376,0.7945378151260504,0.8258750906431007,0.4565144782169458,0.9976190476190476,595.0,0.7970588235294118,0.47799165519725084,0.5140885478685401,0.4545013907670066,0.8028702521791918,0.7970588235294118,0.7988502527094502,0.5140885478685401,0.8205238907316798,595.0,,,,,3,,False,1,
20220328_150741_vdjdb,hammingbeta,21970,0.3006220182378163,0.3006220182378163,0.0,0.6839042368370841,0.3909257976079294,0.29297843922915473,0.09901738473167045,0.011337868480725623,0.08767951625094482,0.503670452605469,0.20256781048212977,0.30110264212333926,6.816867113113403,0.7518896447467877,0.9918478260869565,0.4138740885124177,0.5352109663032592,0.8548238320527968,0.7518896447467877,0.7986361505299926,0.4138740885124177,0.9993291592128801,1323.0,0.7609599395313681,0.3401102628820334,0.39779362375516225,0.3587929224031537,0.7470666438003046,0.7609599395313681,0.7532974345508852,0.39779362375516225,0.7786089757224876,1323.0,,,,,3,,False,1,
20220328_150741_vdjdb,ismartbeta,21970,0.1233490706986195,0.1233490706986195,0.0,0.6810149143308728,0.3702520471474451,0.3107628671834277,0.0930817610062893,0.005031446540880503,0.0880503144654088,0.5345002494128989,0.20464188231074046,0.32985836710215843,31.2694993019104,0.7358490566037736,0.9864864864864865,0.45463405371912236,0.5803361314444757,0.8507459025050856,0.7358490566037736,0.7869075807103911,0.45463405371912236,0.9984984984984985,795.0,0.7364779874213837,0.32098455136170656,0.38761368970128496,0.3411475340106548,0.7389607321810551,0.7364779874213837,0.7367797906995746,0.38761368970128496,0.7818939107688905,795.0,,,,,3,,False,1,
20220328_150741_vdjdb,gianabeta,21970,0.11306998147373454,0.11306998147373454,0.0,0.6813649854961875,0.37071969208153555,0.31064529341465197,0.09587378640776699,0.006067961165048544,0.08980582524271845,0.5346604649075066,0.2058194794337622,0.3288409854737444,8.116538047790527,0.7421116504854369,0.9857954545454546,0.47076842073939174,0.5925032663197518,0.8519404851248126,0.7421116504854369,0.7911776532175873,0.47076842073939174,0.9981804949053857,824.0,0.7396844660194175,0.3226179367461878,0.39977442601876173,0.347306469575852,0.7429562014872909,0.7396844660194175,0.7404805986143597,0.39977442601876173,0.7839919074520425,824.0,,,,,3,,False,1,
20220328_150741_vdjdb,lengthbeta,21970,0.9996980493991183,0.9996980493991183,0.0,0.4991122239927157,0.4991122239927157,0.0,0.0,0.0,0.0,0.20710220805827453,0.17231959936262237,0.03478260869565217,0.3100299835205078,0.125,0.25,0.25,nan,0.2734375,0.375,0.28888888888888886,0.0,0.75,12.0,0.4375,0.21875,0.25,nan,0.2578125,0.4375,0.30530303030303035,0.25,0.75,16.0,,,,,3,,False,1,
